uniq_id,score,product_name,image_url
55b85ea15a1536d46b7190ad6fff8ce7,2.2,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,https://drive.google.com/file/d/1OpMLTySeoGQk-Vg167LqtvP22D-Cn67h/view?usp=share_link
8beb2187f33659971647812d8f95af73,1.4,Liza Women Wedges,https://drive.google.com/file/d/1wrjXouVzsD4YCzlrZwVBz_aV4nB710XG/view?usp=share_link
08cb8617f5aacbe98024867f509f6bbc,1,HRS ULTIMATE BOY Elbow Pads,https://drive.google.com/file/d/1SS0TxohE5ou4g0AEFBkbSOP56p2eVjO4/view?usp=share_link
7b72c92c2f6c40268628ec5f14c6d590,3,Sathiyas Cotton Bath Towel,https://drive.google.com/file/d/16a5dq2YmlFKgnANQe_MTYAhMD0Ik75ZS/view?usp=share_link
ae2934c35fd4b0469d507c0b50374ef1,4,HRS ULTIMATE MEN Chest Pads,https://drive.google.com/file/d/1Y0CSBy8E9jTH6uzfeSr-G1UibtEfA_Pc/view?usp=share_link
64d5d4a258243731dc7bbb1eef49ad74,4.5,Eurospa Cotton Terry Face Towel Set,https://drive.google.com/file/d/1fr1cudA0OUx6qDXVd3Z6ItfFlC6qTD_J/view?usp=share_link
d4684dcdc759dd9cdf41504698d737d8,2.4,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,https://drive.google.com/file/d/1aD_UNLYmWZ34xnmlpcNqX6Yeh-MR1oKD/view?usp=share_link
1b2c6d2ef16b8b391aa0221ebd673ce3,2.7,CASEDEAL Microsoft Nokia lumia x2 Back Panel,https://drive.google.com/file/d/15SQztB_S2saYIvzQu6_2szHLuTYtyWJG/view?usp=share_link
b129a98c7c0e905ca82fd73db63d9bd0,1.2,Mario Gotze Women's Printed Casual Orange Shirt,https://drive.google.com/file/d/10xZ539w00LMyhF0pqfDEbpMEi88_0jzr/view?usp=share_link
6325b6870c54cd47be6ebfbffa620ec7,4,Jaipur Print Cotton Floral King sized Double Bedsheet,https://drive.google.com/file/d/1xBhyAzUeEGFxiMlgTe9bcBgJxV5GRpXG/view?usp=share_link
b51acbb3e292152a131cde140e0c376a,3.1,Shilpi NHSCN003 Coin Bank,https://drive.google.com/file/d/15EBdhDTE4PVwvGaEo8HLSBGa4j2ma-dv/view?usp=share_link
c3f924e0e4c823c62d58de0c17ba86d6,4.9,Jaipur Print Cotton Floral King sized Double Bedsheet,https://drive.google.com/file/d/1LX1jBwSoY6LJyaTsN6l3FL4Uda9P5f8u/view?usp=share_link
38cc9b40b62bef29b49e3c6b501b9dba,4,Babeezworld Dungaree Baby Boy's  Combo,https://drive.google.com/file/d/1g3MJWiOakQ1wgRO05vEnHWz3-o8BuTWu/view?usp=share_link
a99bd685c5430bdf45a1dd01aabc3200,2.5,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,https://drive.google.com/file/d/18IvOjhYu0UmJYZ5vL_7WgwiazJmkzkls/view?usp=share_link
e98fed4f44ec6c5f185a80f8cdd898bb,1.5,"Proence Weight Gainers, Mass Gainers",https://drive.google.com/file/d/1OpMLTySeoGQk-Vg167LqtvP22D-Cn67h/view?usp=share_link
05324708277dbf2f3e8b55a660e91988,3,Discountgod Men's Checkered Casual Shirt,https://drive.google.com/file/d/1wrjXouVzsD4YCzlrZwVBz_aV4nB710XG/view?usp=share_link
9b9dc9b2609d1ee4f5196221eca22eb7,4.4,Silver Streak Men's Printed Casual Denim Shirt,https://drive.google.com/file/d/1SS0TxohE5ou4g0AEFBkbSOP56p2eVjO4/view?usp=share_link
